Which real estate agent sold the most expensive houses?           How about the least expensive?
In which suburb is the most expensive house located?                 What was this year built of the most expensive house?
What is the trend for land size over time?                    What is the trend for number of bedrooms over time?
In which suburb is the least expensive house located?                 Does that suburb also have the lowest average housing price?
How are the locations where houses were built changing over time?
Which real estate agent sold the most expensive houses?           How about the least expensive?
In which suburb is the most expensive house located?                 What was this year built of the most expensive house?
What is the trend for land size over time?                    What is the trend for number of bedrooms over time?
In which suburb is the least expensive house located?                 Does that suburb also have the lowest average housing price?
How are the locations where houses were built changing over time?
Which real estate agent sold the most expensive houses?           How about the least expensive?
In which suburb is the most expensive house located?                 What was this year built of the most expensive house?
What is the trend for land size over time?                    What is the trend for number of bedrooms over time?
In which suburb is the least expensive house located?                 Does that suburb also have the lowest average housing price?
How are the locations where houses were built changing over time?
Which real estate agent sold the most expensive houses?           How about the least expensive?
In which suburb is the most expensive house located?                 What was this year built of the most expensive house?
What is the trend for land size over time?                    What is the trend for number of bedrooms over time?
In which suburb is the least expensive house located?                 Does that suburb also have the lowest average housing price?
How are the locations where houses were built changing over time?
